ID,Hand Signal Name,Description / Meaning,Category,Notes
1,Thumbs Up,"Approval, OK",General / Social,Widely recognized internationally
2,Thumbs Down,Disapproval,General / Social,Widely recognized internationally
3,Raised Fist,"Solidarity, protest",Political / Social,Common in international activism
4,Open Hand Wave,"Greeting or goodbye",Social / Communication,Recognized globally
5,Stop / Flat Palm,"Stop, halt",Traffic / Safety,Used in traffic and emergency signaling
6,Pointing Finger,Indicating direction or object,Instruction / Navigation,"Used universally but avoid pointing at people in some cultures"
7,OK Sign (Circle with Thumb and Index),Everything is okay,General / Social,"Recognized in most countries, avoid in some regions where it’s offensive"
8,Victory / Peace Sign,"Peace, victory",General / Social,Recognized globally
9,Salute,Military respect,Military,Standard NATO and worldwide military gesture
10,Hand Signals for Traffic Control,"Arm straight out = left turn, arm up = stop",Traffic / Safety,Used internationally by traffic police and cyclists
11,Flag Semaphore Signals,Communication using two flags,Maritime / Navigation,Recognized internationally in maritime signaling
12,Diving OK Sign,"Circle with thumb and forefinger, other hand flat",Diving / Safety,Used worldwide in scuba diving
13,"Hand Raised, Palm Forward",Request attention / stop,Sports / Military,Recognized in sports refereeing and military drills
14,Crossed Arms,Danger or emergency,Military / Safety,Used in aviation and emergency signaling
15,Slow / Caution Gesture,"Hand moving side to side, palm down",Traffic / Construction,Recognized internationally in work zones
